state_code,num_employee_code,naics_code,inst_type_code,birth_date,sex,date_filed,closure_code,basis_code,issue_code,litigation_case_type
MD,U,,E,,F,02/17/10,,GF,D2,
NJ,D,452111.0,E,09/29/91,M,07/01/10,,UA,D2,
VA,,622110.0,E,04/16/57,F,01/21/10,,OA,T2,
MN,D,,E,02/19/66,F,01/26/10,,OR,D2,
MI,A,541690.0,E,03/15/86,F,12/22/09,M1,UA,P6,
PA,D,522220.0,E,08/04/55,M,05/14/10,,RB,D2,
GA,D,,K,09/09/50,F,04/15/10,,OR,A3,
NC,D,445110.0,E,05/15/70,F,10/21/09,Y2,UC,B1,
FL,A,623110.0,E,05/14/47,F,11/10/09,,RB,H1,
CO,C,623210.0,E,09/04/65,M,05/03/10,,RB,D2,
MD,D,541110.0,G,09/12/51,M,05/10/10,M3,RB,S5,
PA,D,561440.0,E,05/27/51,M,07/27/10,,OA,D2,
GA,D,488119.0,E,12/03/82,M,12/14/09,M1,AM,D2,
MI,C,721110.0,E,09/17/53,M,06/15/10,M2,OR,D2,
TN,C,,O,05/09/56,M,11/16/09,Y1,RB,J1,
TX,B,561612.0,E,02/23/41,M,11/02/09,M3,W3,T2,
NY,N,,E,,F,01/27/10,M3,OR,H1,
MI,D,561990.0,E,09/06/55,F,06/16/10,Y1,OR,F1,
MO,D,721120.0,E,11/22/43,F,12/02/09,M2,RB,D3,
GA,,311225.0,E,,F,08/12/10,,RB,D3,
WI,D,238210.0,E,01/21/73,M,06/03/10,,AM,R6,
NJ,A,922120.0,G,06/01/50,M,11/10/09,,OA,W1,
OH,D,,E,11/22/67,F,04/20/10,M3,GF,T2,
MD,A,623110.0,E,08/02/76,F,12/21/09,M3,AP,D2,
IL,D,515210.0,E,10/02/73,M,05/10/10,,GM,P3,
PA,D,445299.0,E,08/29/69,M,08/04/10,,RB,D2,
CA,D,722211.0,E,11/08/79,M,05/18/10,Y2,OC,H2,
UT,U,,K,,N,03/10/10,N2,OR,R6,
MO,N,813930.0,U,12/07/57,M,09/22/10,,OR,A2,
FL,A,221119.0,G,09/14/52,M,06/09/10,,OA,H1,
AR,A,,E,08/26/63,F,09/23/10,M3,OA,D1,
FL,C,,E,12/20/76,F,03/04/10,,NH,D2,
MS,C,221122.0,E,11/17/75,F,10/27/09,M2,RB,D2,
GA,D,561499.0,G,09/13/49,F,09/17/10,,OC,D3,
AR,N,561311.0,E,01/21/73,M,07/27/10,,RB,D2,
WY,D,221119.0,E,04/23/59,F,03/26/10,,OA,W1,
FL,U,621420.0,E,01/09/63,F,07/19/10,M2,VB,D2,
FL,A,722110.0,E,06/22/86,F,07/07/10,,GP,D2,
OH,A,,E,09/09/69,F,04/19/10,M2,RW,W1,
FL,A,517510.0,E,07/10/64,F,01/07/10,M1,OR,D3,
IL,A,812113.0,E,11/13/78,F,07/09/10,N2,GF,S4,
GA,D,,E,12/08/57,F,10/19/09,M3,OR,B1,
FL,A,623110.0,E,12/27/63,F,07/23/10,M3,RB,T2,
VA,A,,E,04/10/78,F,11/17/09,M3,OR,D3,
WA,U,,E,03/08/68,F,08/23/10,,OR,W1,
PA,D,488510.0,E,12/23/56,F,09/13/10,,GF,W1,
PA,D,517110.0,E,02/15/69,M,04/19/10,M1,YB,D3,
TX,,622310.0,E,05/08/75,F,12/10/09,X2,OR,D2,
GA,A,,E,02/07/71,F,06/22/10,M2,RB,D3,
IL,A,452910.0,E,,N,09/08/10,,OC,W1,
LA,A,,U,,M,12/07/09,M3,GM,D2,
IL,D,334119.0,E,08/11/67,M,07/19/10,M1,GM,P3,
KY,D,452910.0,E,10/14/64,M,10/22/09,M4,WL,R6,
TX,D,445110.0,E,07/24/65,F,09/16/10,M1,RB,D2,
WA,D,926150.0,G,08/18/65,F,04/30/10,M3,OR,L1,
TX,D,,E,08/03/69,M,06/29/10,,GM,A3,
NY,,624230.0,E,01/13/80,M,07/30/10,M2,OC,O1,
OK,D,452910.0,E,09/25/51,M,10/20/09,M3,W2,D2,
CA,D,,G,01/24/48,F,01/20/10,N2,OA,D2,
MO,D,622110.0,E,03/14/83,F,04/01/10,M3,RB,D2,
AL,A,531311.0,E,07/07/75,M,08/25/10,,GM,H1,
AL,D,445110.0,E,05/01/51,F,03/09/10,M3,UA,T4,
PA,A,624190.0,E,02/15/75,F,10/08/09,M3,OC,D2,
AR,A,622110.0,E,05/02/66,F,10/06/09,M3,OA,D3,
OR,D,518210.0,E,10/05/55,F,02/24/10,,RS,T2,
IL,C,561499.0,E,02/24/33,F,09/30/10,M2,W3,D2,
UT,D,,G,05/28/47,N,01/11/10,,OA,S3,
FL,A,,E,05/18/59,M,11/13/09,M3,OR,D2,
CA,D,921190.0,G,04/19/81,M,09/30/10,M3,NO,H2,
AZ,D,,E,11/15/48,F,04/05/10,M2,Z2,T2,
LA,A,327212.0,E,08/14/53,M,03/30/10,,OR,H1,
CO,D,722211.0,E,10/11/68,M,05/14/10,M3,OR,H1,
TN,A,561440.0,E,08/22/68,F,11/10/09,N2,OR,A3,
DC,A,541611.0,E,10/07/68,F,05/21/10,,GF,D2,
IL,A,,G,09/08/76,M,03/15/10,M3,Z2,S5,
CA,C,624190.0,E,09/09/55,M,06/08/10,M3,OA,D2,
FL,A,484110.0,E,07/27/78,F,02/23/10,,GF,I1,
NY,,921140.0,E,11/14/58,F,04/05/10,M3,NO,T2,
PA,B,452111.0,E,08/10/62,F,01/11/10,M3,OR,T2,
OK,D,,E,07/07/56,M,01/28/10,M3,OA,D2,
IL,D,452910.0,E,05/03/64,M,05/17/10,,OA,H2,
OH,U,,G,09/24/60,F,10/13/09,M3,OR,A3,
FL,D,,E,09/08/65,M,03/01/10,M3,OR,R6,
MS,C,,E,10/09/90,F,08/19/10,M3,RB,W1,
TN,C,323119.0,E,05/16/63,F,03/31/10,M2,Z2,R6,
IN,D,484121.0,E,,M,03/11/10,,Z2,H2,
CA,D,336412.0,E,07/03/43,M,01/21/10,X2,OR,R6,
AL,D,482111.0,E,07/28/61,F,03/03/10,M3,RB,T4,
NM,A,235990.0,E,03/10/57,F,10/22/09,M2,GF,S4,
GA,D,,E,09/14/64,M,04/19/10,M3,W2,D2,
NC,D,,E,06/28/66,M,05/17/10,,GM,W1,
NY,B,722212.0,G,01/04/65,M,06/28/10,M3,OR,T2,
PA,A,238990.0,G,07/20/52,F,03/11/10,M3,U1,H1,
VA,N,,E,,F,12/18/09,Y1,OR,T2,
NY,,523991.0,E,,F,03/12/10,M3,OR,D2,
TN,D,,E,03/06/77,F,11/19/09,M3,GP,T2,
OH,U,,E,07/19/48,F,04/30/10,,UE,W1,
NY,D,,E,01/21/64,M,11/09/09,M3,OR,U1,
VA,D,,E,08/30/62,F,10/09/09,,OR,D2,
CA,D,922190.0,G,10/30/64,F,08/18/10,,OR,H1,
MD,A,,E,11/19/61,F,04/16/10,M3,OR,W1,
GA,B,335911.0,E,04/12/63,M,03/18/10,,RB,D2,
MN,D,424820.0,E,09/21/72,M,05/24/10,,OR,R6,
CO,D,,E,11/22/58,F,10/19/09,,RB,D2,
CA,A,,E,10/06/52,M,11/02/09,,NO,T2,
OK,D,,E,10/19/66,M,09/30/10,,RB,E1,
AL,C,325188.0,E,03/25/52,M,12/22/09,M3,RB,D1,
FL,D,424410.0,E,08/31/70,M,01/11/10,M3,Z2,T2,
IL,C,452111.0,E,01/06/76,M,02/26/10,M3,RB,D2,
MI,C,621610.0,E,01/25/88,F,04/06/10,M3,RB,D3,
AZ,D,,E,08/14/53,M,08/16/10,M3,Z4,S5,
CO,D,921120.0,G,04/16/60,F,01/22/10,,OA,D3,
CT,A,541380.0,E,01/05/61,M,07/09/10,M3,GM,H2,
IL,D,622110.0,E,06/19/73,F,12/31/09,,T3,R6,
IL,C,,E,07/11/33,N,08/13/10,M3,Z2,D2,
OH,A,,G,08/24/69,M,10/30/09,M3,RB,H1,
FL,C,624410.0,E,08/31/65,M,02/08/10,M3,GM,H1,
CA,A,922190.0,E,02/04/58,F,07/29/10,,OA,C1,
LA,D,,I,09/23/70,M,06/01/10,M1,UB,R6,
CA,D,,G,11/05/54,F,02/25/10,M1,OA,H1,
IN,D,,E,06/21/81,F,08/30/10,M2,U2,D2,
LA,B,,E,,F,09/23/10,,GF,H1,
WI,U,,E,,M,09/20/10,,OR,D2,
GA,D,921190.0,G,06/18/51,M,10/30/09,,OR,D3,
MO,D,622110.0,E,03/20/63,F,10/30/09,M3,UB,D2,
NY,U,,G,05/18/49,F,01/14/10,,OA,I1,
PA,D,524126.0,E,04/25/55,M,10/23/09,M3,GM,D3,
CA,A,,E,07/15/52,M,04/27/10,M3,UB,T2,
CA,B,921190.0,G,,F,09/27/10,Y1,WD,H1,
LA,A,541990.0,E,09/20/66,F,02/17/10,M3,OR,P3,
NV,,561612.0,E,04/24/60,F,05/04/10,,Z4,D2,
NJ,D,,E,04/17/74,M,12/31/09,,RW,I1,
TX,D,446110.0,E,02/08/86,M,02/01/10,M3,RB,T2,
CO,C,721110.0,E,08/09/62,F,11/06/09,M3,GF,T2,
CO,C,,E,10/10/80,M,06/15/10,M3,Z2,D2,
FL,B,922120.0,G,02/04/68,F,08/18/10,,RB,H1,
AL,A,,E,09/26/66,F,10/20/09,M3,VB,H1,
NJ,D,622110.0,E,06/30/59,F,04/13/10,M3,Z2,D2,
NM,A,,E,05/04/90,F,03/22/10,M2,NH,T2,
CA,A,,E,,N,06/22/10,M3,Z2,H1,
NY,A,,E,08/27/58,F,10/30/09,N2,GF,P3,
AL,C,,E,04/01/63,M,09/29/10,M3,OR,I1,
IL,A,,E,05/31/74,M,01/21/10,Y1,RB,C1,
NM,D,334512.0,E,03/27/64,F,08/10/10,M3,OR,T2,
IN,D,331111.0,E,12/28/60,M,08/25/10,M3,OR,I1,
GA,B,326199.0,E,06/23/41,M,10/27/09,,OA,D3,
FL,A,623110.0,E,,F,12/29/09,N2,GF,D2,
IN,A,722110.0,E,12/19/75,F,07/15/10,M2,OR,S4,
TN,D,,K,07/23/48,M,09/16/10,,GM,P3,
MS,A,311812.0,E,10/01/56,M,09/23/10,M2,RB,T2,
OH,D,,E,07/20/81,F,01/19/10,M3,GF,H1,
OK,A,,E,10/29/82,F,07/07/10,M3,OC,T2,
OH,D,448150.0,E,12/04/73,F,05/03/10,M2,UE,R6,
MD,D,441310.0,E,07/13/72,F,08/06/10,,GF,T2,
VA,D,541511.0,E,11/15/64,M,01/15/10,,OA,T2,
NC,D,,E,09/25/72,F,08/24/10,M3,VB,R6,
IL,C,561499.0,E,,F,04/15/10,N2,OR,D2,
NY,U,,E,07/24/74,F,02/24/10,,GF,S4,
TX,D,561990.0,E,03/18/65,F,08/25/10,,GF,H1,
GA,D,488190.0,E,03/15/57,M,06/14/10,M3,RB,D2,
TX,A,,E,,F,04/07/10,M2,GF,S4,
KY,A,624190.0,E,03/12/59,F,04/08/10,M3,OA,P3,
MI,C,336399.0,E,10/14/69,F,09/10/10,,OR,S5,
AL,B,334310.0,E,06/22/49,F,07/28/10,M2,OR,D2,
TN,D,,E,12/27/66,M,03/03/10,M3,OR,T2,
IL,D,,E,01/01/70,M,03/18/10,M3,RW,D2,
AR,C,541330.0,E,08/21/58,F,11/13/09,M3,OA,S5,
NY,A,,E,10/27/83,F,03/08/10,,NH,T2,
AZ,A,,E,07/16/54,M,04/20/10,M4,GM,I1,
LA,D,336992.0,E,01/28/79,M,07/08/10,M3,OR,H2,
PA,C,622210.0,E,05/13/70,F,07/07/10,,GF,H1,
PA,D,452111.0,E,11/21/53,F,05/06/10,,OR,P6,
CA,D,481111.0,E,06/09/57,N,08/17/10,,OR,D3,
PA,D,524113.0,E,06/07/72,F,04/19/10,M3,UB,R6,
ID,D,,I,10/12/82,F,04/12/10,M3,VB,D2,
MA,A,334611.0,E,,F,04/30/10,,GP,Q1,
MO,A,551112.0,E,12/04/75,F,11/13/09,M1,OR,T2,
UT,U,,E,,N,09/21/10,N2,OR,I1,
NC,D,452910.0,E,11/28/64,F,03/16/10,,OR,S4,
AZ,A,,E,11/18/80,F,07/29/10,M3,OR,T2,
FL,A,713990.0,E,11/24/63,F,05/25/10,M3,Z2,D2,
MN,D,522110.0,E,12/10/55,F,04/22/10,,OR,W1,
PA,D,339999.0,E,01/14/58,M,02/25/10,M3,OA,D3,
TX,U,,I,11/14/63,F,04/21/10,M3,OR,H1,
TN,A,441229.0,E,03/10/71,F,03/18/10,M3,RB,D2,
AZ,B,561440.0,E,09/22/70,M,02/23/10,M3,OR,A3,
PA,D,524114.0,E,01/13/68,F,05/18/10,M3,OR,T2,
GA,D,561612.0,E,10/14/64,F,07/19/10,M3,GF,S4,
MN,C,921190.0,G,10/23/54,M,09/07/10,M3,OR,T2,
MN,C,622110.0,E,03/31/49,F,08/09/10,,Z2,R6,
IL,D,423110.0,E,01/29/71,M,11/13/09,M3,RB,T2,
MI,D,,E,02/27/42,M,05/26/10,M1,U1,D2,
GA,D,,E,01/11/51,F,01/08/10,,RB,D2,
NY,A,721199.0,E,10/04/80,M,08/31/10,M3,OR,T2,
GA,D,,E,03/19/88,M,02/11/10,M3,NO,D2,
NY,D,517110.0,E,01/31/68,M,07/01/10,M1,OR,I1,
PA,A,,E,01/01/80,M,07/22/10,,OR,R6,
IL,D,524128.0,E,07/21/56,M,09/16/10,,W2,D2,
GA,A,,E,08/24/70,F,10/05/09,,OR,D3,
CO,A,,E,02/07/69,F,01/28/10,,Z4,D2,
MD,D,,E,08/07/69,F,04/28/10,,OA,H1,
SC,D,,E,09/03/62,F,04/28/10,N2,RB,R1,
MI,D,,G,12/27/63,F,02/01/10,N2,RB,T2,
IL,D,,G,11/23/71,M,09/09/10,,RW,T2,
VA,D,,E,09/20/58,F,08/16/10,M2,RS,D3,
FL,D,622110.0,O,01/30/72,M,06/17/10,,GM,D2,
TX,D,,E,01/14/60,F,06/15/10,M3,OR,D3,
FL,C,622110.0,E,08/09/64,N,12/10/09,,NO,L3,
IL,D,721110.0,E,02/20/78,F,05/25/10,,RB,D2,
CO,D,524113.0,E,,F,12/28/09,,RB,H1,
MN,A,421990.0,E,12/10/56,F,06/16/10,,OR,R6,
CA,C,561612.0,E,12/21/53,M,04/14/10,,OA,P3,
FL,D,,E,08/13/79,F,09/03/10,M3,RB,D2,
IL,D,,E,02/21/64,F,01/27/10,,OA,D2,
MD,A,,E,01/19/85,F,05/03/10,,OR,D2,
MA,B,,E,01/12/64,M,10/28/09,X1,Z1,R6,
IL,A,442210.0,E,05/28/54,M,08/13/10,M3,RB,R1,
PA,D,481111.0,E,,M,11/17/09,N2,RB,S5,
NY,D,523110.0,E,12/08/78,M,08/11/10,,,H1,
FL,B,,E,07/09/67,F,04/28/10,M3,Z2,R6,
CO,D,,E,12/21/47,N,12/07/09,M3,Z4,D2,
FL,A,722110.0,E,10/06/56,F,09/16/10,,GF,W1,
GA,D,561612.0,E,03/07/62,F,03/03/10,M2,GF,S4,
WA,B,611310.0,I,,M,10/26/09,M3,OR,D2,
FL,U,446120.0,E,,F,01/11/10,M3,RB,D2,
OH,C,621999.0,E,09/25/64,F,02/16/10,M3,RB,C1,
TX,D,622210.0,G,11/05/79,F,11/18/09,M3,RB,T2,
FL,D,517110.0,E,,F,11/06/09,M3,OR,O1,
OH,D,,E,05/19/79,M,09/01/10,Y1,RB,D2,
PA,D,481111.0,E,10/21/82,M,09/23/10,,RB,R4,
MN,D,,E,09/08/63,M,04/19/10,M3,UB,T2,
CA,D,561110.0,E,08/06/57,M,12/17/09,,OR,S4,
GA,D,,E,07/01/63,F,10/30/09,M3,OR,B3,
MO,C,,N,02/01/60,M,02/22/10,M3,AM,D2,
TX,D,812990.0,E,08/10/82,F,06/29/10,M3,GF,D2,
NY,D,,G,12/31/71,F,06/22/10,M3,GF,H1,
CA,D,,E,03/07/65,N,12/24/09,M3,OC,H1,
IN,D,621111.0,E,04/12/84,F,07/30/10,Y2,RB,H1,
CA,,334112.0,E,,F,11/10/09,M3,OR,C1,
MD,C,621610.0,E,02/04/88,F,09/27/10,,OR,W1,
AZ,D,,E,11/09/60,F,05/10/10,M3,NO,D2,
PA,C,611110.0,E,02/27/61,M,11/09/09,M3,AM,D2,
NJ,D,452111.0,E,,F,11/23/09,M3,RB,D3,
IL,C,326199.0,E,12/13/62,M,02/04/10,M3,OR,D2,
UT,D,,G,11/02/45,N,01/06/10,,OA,O1,
OK,A,,E,03/28/68,M,06/28/10,M3,OR,H1,
PA,D,,E,08/20/78,M,11/10/09,M3,GM,H1,
TX,C,624310.0,E,11/02/67,F,02/16/10,M3,OR,C1,
PA,A,488490.0,E,07/12/62,F,03/02/10,M3,GF,H1,
GA,D,522110.0,E,11/22/71,F,08/12/10,M2,NO,D3,
VA,U,,K,04/02/62,F,11/04/09,Y2,Z4,R6,
NC,A,722211.0,E,01/25/67,F,03/02/10,M3,OA,D2,
CO,B,,E,10/14/71,F,09/22/10,X1,OR,D1,
HI,C,624190.0,E,06/20/71,F,09/24/10,,NO,D2,
CA,D,,G,10/09/85,F,11/20/09,Y2,GP,T2,
NC,B,611710.0,I,09/24/58,F,01/28/10,M3,OR,D2,
LA,A,,E,07/10/35,F,09/02/10,,GF,S4,
PA,D,722110.0,E,,F,03/24/10,,RW,C1,
OH,A,621111.0,E,06/15/67,F,01/26/10,M3,NO,D2,
MI,B,,E,07/24/62,F,02/25/10,,Z2,L1,
UT,D,,E,08/04/48,F,06/09/10,,OR,D2,
AZ,A,,E,12/03/71,F,03/17/10,M2,GF,S4,
CA,D,,G,01/24/81,F,02/03/10,M3,GF,H1,
OK,,624310.0,E,09/25/60,M,11/05/09,M3,OA,T2,
MD,D,446110.0,E,08/26/76,M,08/04/10,,NO,D2,
AL,D,561210.0,E,09/02/39,F,04/12/10,M2,OR,I1,
CO,D,,E,03/26/61,F,08/30/10,,OR,T2,
NY,U,,E,,F,12/08/09,,GF,E1,
NC,D,332999.0,E,02/19/64,F,06/04/10,M3,OR,D2,
IL,B,,E,08/02/42,F,06/03/10,,GF,T2,
GA,C,622110.0,E,05/09/74,F,02/05/10,M3,RB,D2,
TX,D,334516.0,E,06/30/78,M,06/30/10,M3,OR,H1,
MD,A,,E,03/17/62,F,09/02/10,,AO,T2,
IL,N,,E,09/21/84,M,10/22/09,Y1,NM,D2,
KS,D,561422.0,E,,F,08/03/10,M3,RW,H1,
MD,A,,E,04/10/53,F,02/03/10,,OR,D2,
TX,D,,E,10/29/66,N,03/02/10,,GF,H1,
VA,D,524298.0,E,07/18/63,M,05/12/10,,GM,D3,
CO,A,448110.0,E,01/03/54,M,04/16/10,N2,OA,D2,
CO,D,311999.0,E,,N,07/26/10,,NO,T2,
IL,U,,E,02/06/75,F,07/29/10,,RB,D3,
NC,D,722110.0,E,01/21/73,M,09/27/10,M3,RB,D2,
PA,D,,E,05/11/62,F,02/22/10,N2,Z3,R6,
TX,D,488510.0,E,03/14/76,M,04/05/10,,NH,H1,
CO,B,,E,09/22/81,F,04/09/10,N2,GP,D2,
WA,A,,E,09/28/61,M,12/18/09,M3,OR,D2,
NC,A,,E,10/09/87,F,03/02/10,M3,GP,D2,
SC,C,,E,,M,02/19/10,M3,NO,H1,
CA,D,622110.0,E,10/22/42,F,09/16/10,,OR,R2,
OH,,,G,03/31/47,F,02/23/10,M3,GF,D2,
TX,D,,E,05/28/71,F,07/13/10,,GF,S4,
OK,D,323110.0,E,08/26/50,M,08/03/10,M3,OA,D2,
NV,,713290.0,E,05/03/54,M,06/22/10,,OR,T2,
CA,B,,E,03/23/61,F,03/22/10,M3,NO,T2,
FL,A,,E,06/11/73,M,02/10/10,M3,RB,D2,
AZ,D,,E,11/22/80,F,06/04/10,N2,GF,S4,
NV,D,,K,10/07/52,M,09/22/10,M2,OR,H1,
OK,C,624190.0,E,07/09/56,F,06/03/10,M3,OA,H1,
FL,U,523120.0,E,08/29/55,M,01/21/10,,OA,T2,
MO,D,,P,07/04/68,N,11/18/09,M3,OA,A3,
CO,U,,E,06/13/89,M,09/24/10,Y1,OR,D2,
FL,D,622110.0,B,07/07/57,F,09/14/10,N2,OR,S4,
CA,U,,E,,N,09/13/10,M3,NM,D2,
IL,D,,E,11/09/77,F,12/11/09,N2,OR,D1,
NY,D,,G,08/10/66,F,10/02/09,,OC,I1,
CA,U,,E,,M,02/19/10,,UB,R6,
MD,A,523999.0,E,06/21/82,M,12/01/09,M2,GM,S4,
MS,A,713990.0,E,01/18/59,F,11/24/09,M3,Z2,R6,
MA,U,,E,06/01/52,N,02/08/10,M2,RB,H1,
NM,D,482111.0,E,12/31/60,M,10/20/09,M3,OR,T2,
PA,D,621999.0,E,02/05/54,F,05/26/10,,RB,D2,
AR,A,452910.0,E,09/22/73,F,08/02/10,Y2,RB,T2,
NC,D,622110.0,E,09/14/72,N,07/01/10,M3,RB,C1,
NY,D,,E,08/30/65,F,10/14/09,M3,OA,T4,
AL,A,,E,12/05/58,F,01/12/10,M3,AA,R6,
NY,U,,E,07/25/61,M,01/12/10,,NH,T2,
NY,C,611110.0,K,07/20/74,F,08/31/10,Y1,RB,T2,
IN,D,452111.0,E,06/27/62,F,05/04/10,M3,UB,D2,
FL,D,485410.0,K,04/01/48,F,11/04/09,M3,OR,H1,
HI,A,922130.0,E,11/07/84,F,07/08/10,,OC,D2,
FL,A,441110.0,E,,F,10/05/09,M3,OR,D2,
WI,A,722110.0,E,08/25/68,M,04/08/10,,RB,T4,
NY,D,,G,02/09/60,F,05/13/10,N2,OR,R5,
WV,B,445110.0,E,06/07/63,M,05/14/10,,GM,S5,
GA,,488119.0,E,01/01/78,F,11/20/09,M1,NO,D2,
TX,U,,E,02/18/39,M,05/26/10,M3,RW,T2,
MD,D,,E,04/26/62,F,10/08/09,,OA,T2,
AL,D,454390.0,E,06/10/54,M,01/28/10,M3,VB,C1,
TN,C,561720.0,E,05/18/57,F,02/17/10,M3,OR,O1,
IL,D,336399.0,E,05/30/73,F,06/16/10,M2,GF,W1,
OR,D,326299.0,E,07/22/60,F,01/29/10,M2,T2,D2,
MO,D,541512.0,E,10/04/68,M,01/21/10,M3,OA,H1,
TN,A,,E,07/19/84,F,09/02/10,,UC,H1,
PA,A,326199.0,E,11/06/53,M,03/30/10,M2,WJ,R6,
CO,B,,E,,F,07/13/10,,GF,H1,
TX,D,,E,07/17/62,F,01/25/10,M3,RB,S5,
CA,D,624310.0,E,06/29/53,F,12/17/09,M2,NH,C1,
IN,A,813311.0,U,07/03/65,M,12/15/09,M3,GM,U1,
PA,C,451110.0,E,09/24/50,F,08/31/10,,OR,D2,
MA,D,524127.0,E,04/20/70,M,08/11/10,M3,RB,W1,
CO,C,,K,07/17/64,M,11/23/09,M1,OR,I1,
OH,D,522110.0,E,07/07/61,F,12/08/09,M3,XC,R5,
MD,D,561613.0,E,,F,02/04/10,,RB,H1,
NY,C,,E,02/19/70,F,12/22/09,N2,GF,S4,
AL,B,221122.0,E,09/10/72,F,03/01/10,Y1,OR,T2,
TX,D,611710.0,K,06/01/52,F,01/25/10,M3,OA,R4,
WI,U,611110.0,K,06/25/64,M,09/20/10,,OR,D2,
CA,D,551114.0,E,09/02/55,F,02/02/10,,OA,D2,
MD,,517212.0,E,10/06/82,M,12/15/09,M3,OO,H2,
TX,D,424690.0,E,09/26/58,F,12/08/09,N2,OR,D3,
AL,D,,E,08/25/72,F,02/22/10,,OR,T2,
OH,C,453998.0,E,09/18/67,M,06/02/10,M3,Z2,D2,
PR,U,,E,03/01/54,M,05/07/10,N2,T2,O1,
TX,C,921190.0,G,07/11/59,M,09/09/10,M3,OR,D3,
TX,D,515210.0,E,01/16/55,F,06/07/10,M3,GF,D3,
SC,D,921190.0,G,03/08/64,M,06/28/10,,RB,D3,
NY,A,,E,09/06/78,M,09/30/10,,OR,D2,
NY,D,,G,03/28/68,F,07/13/10,,OO,D3,
OK,A,,E,04/29/79,F,04/09/10,M2,RB,I1,
WA,D,,E,05/21/62,F,03/25/10,M3,OA,W1,
TN,B,621111.0,E,03/23/74,F,06/07/10,,UC,D2,
TN,A,811198.0,E,,M,06/14/10,,OC,I1,
AL,A,451110.0,E,04/13/64,F,06/03/10,M3,RW,T2,
PA,A,,E,08/07/57,F,08/03/10,,RB,T2,
CA,A,611310.0,I,05/10/50,F,07/29/10,,NO,A3,
VA,A,,E,11/06/66,F,10/28/09,M3,RB,L1,
NY,D,,E,01/01/70,F,09/29/10,N2,GF,T2,
PR,A,,E,03/04/59,M,10/09/09,M3,OC,S5,
GA,D,722320.0,E,01/27/74,F,05/03/10,M2,NH,D2,
FL,A,483212.0,E,08/26/83,M,01/20/10,,RB,T2,
NY,D,,G,01/12/67,M,12/04/09,X1,U6,T2,
CA,D,,E,12/02/66,M,11/18/09,,OR,D3,
VA,A,,E,03/10/67,M,01/05/10,M1,GM,C1,
MN,D,561720.0,E,01/01/89,N,01/06/10,M1,NO,W1,
AL,A,442110.0,E,11/20/85,F,06/29/10,M3,RB,T2,
MS,D,311511.0,E,06/19/58,F,09/29/10,M3,GF,S4,
IL,A,561499.0,E,,F,01/26/10,,GF,C1,
NV,D,,E,09/18/61,F,10/26/09,,GF,H1,
CA,A,,E,03/30/80,F,09/14/10,,AO,D2,
OH,A,812990.0,E,03/26/79,F,08/05/10,M3,OR,D2,
IN,D,,E,05/03/50,M,12/01/09,,VB,H2,
NY,B,,E,09/03/76,M,04/26/10,,RW,D2,
DE,D,446110.0,E,03/23/63,F,08/23/10,,OA,H1,
NY,D,522110.0,E,05/15/86,M,07/01/10,N2,OR,D2,
TN,B,561990.0,E,12/04/57,F,02/22/10,M3,OR,L1,
CO,D,611310.0,E,10/28/52,F,09/24/10,M2,GF,T2,
NC,A,,E,07/02/63,M,09/22/10,,RB,H1,
WA,A,,E,02/27/65,M,06/18/10,M3,OA,D2,
GA,D,452111.0,E,01/15/59,F,04/06/10,,RB,P3,
AR,A,622110.0,E,05/14/70,F,10/21/09,M3,RB,D3,
CO,A,445292.0,E,10/04/73,F,02/23/10,,Z2,D2,
GA,B,,E,08/15/76,M,06/29/10,,RB,D3,
CA,D,445110.0,E,05/20/58,M,06/16/10,,RW,H2,
NC,D,541711.0,E,02/12/76,F,09/24/10,M3,OR,H1,
MN,C,325998.0,E,11/08/49,M,02/18/10,M2,OA,B6,
NC,D,333611.0,E,07/14/47,M,06/09/10,,T4,D3,
GA,U,,E,,M,11/24/09,M3,GM,D2,
MO,D,711211.0,E,03/20/70,M,08/17/10,,RB,R4,
KY,A,,E,02/12/65,M,01/12/10,M3,RB,D2,
CA,D,522110.0,E,05/20/70,M,04/14/10,N2,OR,H2,
TX,D,481111.0,E,02/27/59,F,10/01/09,N2,Z4,D3,
CO,D,488190.0,E,,N,06/16/10,,OC,D2,
CA,A,,E,12/05/54,F,08/17/10,,OA,D2,
WI,A,,E,11/25/81,F,10/23/09,N2,OR,R6,
CO,D,524113.0,E,,F,12/28/09,,GF,P3,
FL,A,722110.0,E,09/06/68,F,07/07/10,,OR,W1,
GA,A,,E,05/13/61,F,10/07/09,M3,OA,D2,
MI,A,,E,09/08/76,F,02/17/10,M3,OR,T2,
NY,U,,E,08/11/67,M,06/24/10,M3,AC,A3,
TX,D,,G,10/03/63,F,11/23/09,N2,OR,T2,
AL,C,525990.0,E,06/01/82,F,08/04/10,,RB,T2,
TX,A,,E,02/18/84,F,07/23/10,M2,AO,R6,
TX,A,,E,05/04/83,F,02/03/10,Y2,WJ,D2,
WA,D,445110.0,E,08/16/80,F,06/21/10,M3,GF,T2,
OH,D,,E,02/29/84,F,09/01/10,M2,GP,H1,
TX,C,,E,02/01/45,M,08/23/10,M3,OA,D2,
CO,A,,E,11/21/77,M,04/26/10,M3,OC,W1,
TX,D,,G,,F,03/26/10,M3,RW,H1,
PA,B,,E,08/13/81,F,11/17/09,,GP,D2,
